162.159.244.84,5.64,0.00,0.00
104.23.107.150,5.54,0.00,0.00
173.245.49.174,5.66,0.00,0.00
173.245.49.169,7.02,0.00,0.00
104.24.95.253,7.04,0.00,0.00
188.114.99.157,6.72,0.00,0.00
188.114.96.7,7.39,0.00,0.00
190.93.247.154,5.61,0.00,0.00
188.114.97.21,5.64,0.00,0.00
131.0.72.167,inf,100.00,0.00
188.114.101.113,inf,100.00,0.00
141.101.98.62,inf,100.00,0.00
103.22.200.75,inf,100.00,0.00
173.245.52.167,inf,100.00,0.00
103.21.247.221,inf,100.00,0.00
141.101.66.163,inf,100.00,0.00
104.22.242.0,inf,100.00,0.00
104.27.216.61,inf,100.00,0.00
197.234.240.88,inf,100.00,0.00
173.245.63.85,inf,100.00,0.00
188.114.109.153,inf,100.00,0.00
104.24.96.10,inf,100.00,0.00
141.101.86.60,inf,100.00,0.00
104.23.219.208,inf,100.00,0.00
190.93.253.72,inf,100.00,0.00
131.0.75.87,inf,100.00,0.00
108.162.247.68,inf,100.00,0.00
131.0.73.138,inf,100.00,0.00
141.101.127.173,inf,100.00,0.00
103.31.4.208,inf,100.00,0.00
190.93.241.173,inf,100.00,0.00
103.22.200.226,inf,100.00,0.00
131.0.73.100,inf,100.00,0.00
141.101.125.109,inf,100.00,0.00
103.22.201.234,inf,100.00,0.00
172.69.239.100,inf,100.00,0.00
103.22.202.111,inf,100.00,0.00
104.26.109.159,inf,100.00,0.00
172.68.228.144,inf,100.00,0.00
198.41.169.95,inf,100.00,0.00
103.22.201.246,inf,100.00,0.00
103.21.244.44,inf,100.00,0.00
198.41.225.195,inf,100.00,0.00
173.245.53.235,inf,100.00,0.00
108.162.237.149,inf,100.00,0.00
173.245.55.149,inf,100.00,0.00
108.162.245.139,inf,100.00,0.00
108.162.214.182,inf,100.00,0.00
141.101.64.195,inf,100.00,0.00
198.41.163.90,inf,100.00,0.00
198.41.135.180,inf,100.00,0.00
108.162.245.237,inf,100.00,0.00
197.234.243.150,inf,100.00,0.00
104.24.46.99,5.58,0.00,0.00
104.25.80.124,5.87,0.00,0.00
108.162.255.191,inf,100.00,0.00
104.21.124.64,5.64,0.00,0.00
104.25.253.39,5.68,0.00,0.00
141.101.115.17,5.76,0.00,0.00
162.158.152.245,inf,100.00,0.00
188.114.96.62,5.43,0.00,0.00
104.25.210.96,5.48,0.00,0.00
172.67.255.210,5.60,0.00,0.00
104.25.129.120,5.53,0.00,0.00
188.114.99.247,5.59,0.00,0.00
104.24.203.62,5.58,0.00,0.00
